cod_ibge,total_familias,renda_media_pc
2100600,1533,186.75146771037183
2100709,1649,52.162522741055184
2100808,258,46.44186046511628
2100832,1192,165.73909395973155
2100873,170,197.4294117647059
2100907,2233,104.98969995521719
2100956,1380,150.18840579710144
2101004,1540,135.45
2101103,172,66.93023255813954
2101202,5151,220.24927198602214
2101251,96,152.32291666666666
2101301,266,193.28195488721803
2101350,90,134.06666666666666
2101400,3912,299.0247955010225
2101509,293,153.89419795221843
2101608,3562,210.55362156092082
2101707,3214,97.95550715619166
2101731,125,126.36
2101772,195,123.41025641025641
2101806,85,155.21176470588236
2101905,302,145.64238410596028
2101939,64,143.21875
2101970,135,93.92592592592592
2102002,1682,133.5856123662307
2102036,1592,186.90452261306532
2102077,213,178.9718309859155
2102101,1840,87.5054347826087
2102150,130,148.87692307692308
2102200,1338,97.01494768310911
2102309,1175,139.9991489361702
2102325,2513,266.83326701154
2102358,81,88.39506172839506
2102374,151,70.24503311258277
2102408,164,124.6829268292683
2102507,1208,110.38162251655629
2102556,154,190.66233766233765
2102606,1201,165.07577019150708
2102705,273,147.3956043956044
2102754,204,163.85294117647058
2102804,1225,261.781045751634
2102903,1527,123.92272429600524
2103000,7748,251.25955085183273
2103109,178,171.59550561797752
2103125,154,102.8896103896104
2103158,165,188.3151515151515
2103174,276,113.3876811594203
2103208,4144,108.36076254826254
2103257,212,104.09433962264151
2103307,5438,228.59249724163294
2103406,2243,162.54658938921088
2103505,2134,154.7464854732896
2103554,271,186.38745387453875
2103604,3188,175.60664993726473
2103703,2356,242.26358234295415
2103752,51,307.8235294117647
2103802,1195,162.66499162479062
2103901,139,129.41726618705036
2104008,279,137.6236559139785
2104057,1637,295.6450824679291
2104073,125,261.152
2104081,142,139.8661971830986
2104099,252,128.88492063492063
2104107,212,142.88679245283018
2104206,250,116.008
2104305,144,120.57638888888889
2104404,283,123.0565371024735
2104503,153,180.44444444444446
2104552,90,279.18888888888887
2104602,214,140.6728971962617
2104628,93,209.43010752688173
2104651,189,211.15873015873015
2104677,1297,114.36931380107941
2104701,120,396.65833333333336
2104800,3457,241.80850448365635
2104909,223,231.94170403587444
2105005,1338,126.4424514200299
2105104,1342,116.39791356184799
2105153,225,158.55555555555554
2105203,186,157.44086021505376
2105302,10016,365.4943091054313
2105351,217,126.3410138248848
2105401,3186,226.308223477715
2105427,1365,213.94358974358974
2105450,139,82.98561151079137
2105476,213,176.08450704225353
2105500,1222,234.66229508196722
2105609,193,195.68393782383419
2105658,95,159.2
2105708,2593,139.71693019668336
2105807,204,190.7843137254902
2105906,247,132.8582995951417
2105922,144,74.74305555555556
2105948,175,284.90285714285716
2105963,153,178.45098039215685
2105989,116,113.30172413793103
2106003,191,253.8586387434555
2106102,143,190.6083916083916
2106201,162,157.0493827160494
2106300,186,177.2741935483871
2106326,254,168.7244094488189
2106359,125,131.928
2106375,141,151.60992907801418
2106409,260,35.33076923076923
2106508,1628,101.99324324324324
2106607,1887,181.20614732379437
2106631,162,108.24691358024691
2106672,130,86.0
2106706,283,107.8339222614841
2106755,333,138.00300300300302
2106805,246,193.1788617886179
2106904,1654,151.32769044740024
2107001,47,240.36170212765958
2107100,328,142.1890243902439
2107209,189,77.0
2107258,74,204.63513513513513
2107308,71,165.77464788732394
2107357,273,214.6959706959707
2107407,1198,161.92153589315527
2107456,288,123.89583333333333
2107506,4222,214.68704098554844
2107605,1299,123.46112394149345
2107704,1361,149.7516531961793
2107803,1591,161.47140163419232
2107902,281,155.16370106761565
2108009,312,163.14102564102564
2108058,221,84.76470588235294
2108108,325,137.02461538461537
2108207,1561,257.4439461883408
2108256,1476,113.81571815718158
2108306,1728,91.54140127388536
2108405,186,134.67741935483872
2108454,1421,97.25404644616468
2108504,1281,174.68696330991412
2108603,4350,203.64666666666668
2108702,1487,164.08002689979824
2108801,280,152.8607142857143
2108900,262,176.3206106870229
2109007,311,319.3215434083601
2109056,127,173.79527559055117
