cod_ibge,total_familias,renda_media_pc,ivs_geral,ivs_infraestrutura_urbana,ivs_capital_humano,ivs_renda_trabalho,score_prioridade,faixa_prioridade,nome_municipio,uf,municipio,n_eventos_aderentes,valor_total_liberado,tem_historico
1505601,49,190.6326530612245,0.576,0.584,0.589,0.554,34.35,MEDIA,Peixe-Boi,PA,,0,,False
2615805,1392,134.0352011494253,0.621,0.563,0.659,0.64,34.34,MEDIA,Tupanatinga,PE,,0,,False
2915007,319,165.53918495297805,0.602,0.576,0.585,0.644,34.32,MEDIA,Itaeté,BA,,0,,False
1504901,1631,107.52912323727774,0.578,0.545,0.596,0.594,34.29,MEDIA,Muaná,PA,,0,,False
2805109,180,242.96666666666667,0.544,0.592,0.535,0.505,34.2,MEDIA,Pedrinhas,SE,,0,,False
1507706,1214,77.75782537067545,0.542,0.51,0.573,0.543,34.19,MEDIA,São Sebastião da Boa Vista,PA,,0,,False
2505238,284,131.41197183098592,0.644,0.559,0.683,0.691,34.19,MEDIA,Cuité de Mamanguape,PB,,0,,False
1600535,509,121.59135559921414,0.509,0.553,0.484,0.489,34.18,MEDIA,Porto Grande,AP,,0,,False
1504505,118,114.33898305084746,0.699,0.547,0.809,0.74,34.12,MEDIA,Melgaço,PA,,0,,False
2100956,1380,150.18840579710144,0.643,0.566,0.75,0.612,34.09,MEDIA,Arame,MA,,0,,False
2701803,173,92.39884393063583,0.604,0.526,0.601,0.684,34.03,MEDIA,Carneiros,AL,,0,,False
1504422,4701,244.0997660072325,0.455,0.588,0.38,0.398,33.97,MEDIA,Marituba,PA,,0,,False
2111508,2099,183.66079085278704,0.595,0.574,0.651,0.559,33.9,MEDIA,São Mateus do Maranhão,MA,,0,,False
2303931,153,203.9281045751634,0.581,0.579,0.577,0.588,33.89,MEDIA,Choró,CE,,0,,False
3162401,1490,165.1355704697987,0.525,0.567,0.475,0.533,33.83,MEDIA,São João da Ponte,MG,,0,,False
3136579,141,277.6099290780142,0.631,0.59,0.628,0.674,33.82,MEDIA,Josenópolis,MG,,0,,False
2205607,264,250.6439393939394,0.538,0.586,0.525,0.503,33.81,MEDIA,Landri Sales,PI,,0,,False
2613701,3963,242.86727226848348,0.511,0.583,0.445,0.506,33.71,MEDIA,São Lourenço da Mata,PE,,0,,False
1500206,2895,111.8901554404145,0.607,0.537,0.628,0.655,33.67,MEDIA,Acará,PA,,0,,False
1503200,1919,179.62688900468993,0.555,0.568,0.502,0.596,33.63,MEDIA,Igarapé-Açu,PA,,0,,False
2515104,368,244.22282608695653,0.548,0.581,0.502,0.56,33.59,MEDIA,São Sebastião de Lagoa de Roça,PB,,0,,False
1501501,2825,156.36778761061947,0.457,0.559,0.4,0.411,33.57,MEDIA,Benevides,PA,,0,,False
2109809,2344,139.2141638225256,0.59,0.548,0.602,0.621,33.37,MEDIA,Santa Helena,MA,,0,,False
1504703,3942,113.9482496194825,0.565,0.533,0.639,0.523,33.36,MEDIA,Moju,PA,,0,,False
3118106,103,274.90291262135923,0.56,0.58,0.585,0.514,33.29,MEDIA,Congonhas do Norte,MG,,0,,False
2701209,210,159.53809523809525,0.597,0.555,0.649,0.588,33.28,MEDIA,Cacimbinhas,AL,,0,,False
1717800,196,386.3775510204082,0.596,0.589,0.649,0.551,33.24,MEDIA,Ponte Alta do Bom Jesus,TO,,0,,False
1600253,283,50.39929328621909,0.591,0.428,0.628,0.716,33.22,MEDIA,Itaubal,AP,,0,,False
2707206,214,149.98130841121494,0.59,0.55,0.549,0.67,33.21,MEDIA,Poço das Trincheiras,AL,,0,,False
2919108,166,144.84939759036143,0.648,0.545,0.646,0.754,33.06,MEDIA,Lamarão,BA,,0,,False
2201705,166,202.19277108433727,0.513,0.563,0.434,0.543,33.04,MEDIA,Bertolínia,PI,,0,,False
2107902,281,155.16370106761565,0.611,0.547,0.692,0.593,32.93,MEDIA,Passagem Franca,MA,,0,,False
